desc,desc_corpus,genre,lemmatized,tf-idf,title,tokenized,url,vectorized,word2vec_keyword
"      Veteran journalist Joe Nocera’s neighbor in the Hamptons was a therapist named Ike. Ike counted celebrities and Manhattan elites as his patients. He’d host star-studded parties at his eccentric vacation house. But one summer, Joe discovered that Ike was gone and everything he’d thought he’d known about his neighbor -- and the house next door -- was wrong. From Wondery, the company behind Dirty John and Dr. Death, and Bloomberg, “The Shrink Next Door” is a story about power, control and turning to the wrong person for help for three decades. Written and hosted by Joe Nocera, a...","['      Veteran journalist Joe Nocera’s neighbor in the Hamptons was a therapist named Ike', ' Ike counted celebrities and Manhattan elites as his patients', ' He’d host star-studded parties at his eccentric vacation house', ' But one summer, Joe discovered that Ike was gone and everything he’d thought he’d known about his neighbor -- and the house next door --\xa0was wrong', ' From Wondery, the company behind Dirty John and Dr', ' Death, and Bloomberg, “The Shrink Next Door” is a story about power, control and turning to the wrong person for help for three decades', ' Written and hosted by Joe Nocera, a', '', '', '']","['Business', 'Society & Culture']","['Veteran', 'journalist', 'Joe', 'Nocera', '’', 'neighbor', 'Hamptons', 'therapist', 'named', 'Ike', '.', 'Ike', 'counted', 'celebrity', 'Manhattan', 'elite', 'patient', '.', 'He', '’', 'host', 'star-studded', 'party', 'eccentric', 'vacation', 'house', '.', 'But', 'one', 'summer', ',', 'Joe', 'discovered', 'Ike', 'gone', 'everything', '’', 'thought', '’', 'known', 'neighbor', '--', 'house', 'next', 'door', '--', 'wrong', '.', 'From', 'Wondery', ',', 'company', 'behind', 'Dirty', 'John', 'Dr.', 'Death', ',', 'Bloomberg', ',', '“', 'The', 'Shrink', 'Next', 'Door', '”', 'story', 'power', ',', 'control', 'turning', 'wrong', 'person', 'help', 'three', 'decade', '.', 'Written', 'hosted', 'Joe', 'Nocera', ',', '...']","['bloomberg', 'celebrities', 'company', 'control', 'counted', 'death', 'decades', 'dirty', 'discovered', 'door', 'dr', 'eccentric', 'elites', 'gone', 'hamptons', 'help', 'host', 'hosted', 'house', 'ike', 'joe', 'john', 'journalist', 'known', 'manhattan', 'named', 'neighbor', 'nocera', 'parties', 'patients', 'person', 'power', 'shrink', 'star', 'story', 'studded', 'summer', 'therapist', 'thought', 'turning', 'vacation', 'veteran', 'wondery', 'written', 'wrong']",The Shrink Next Door,"['Veteran', 'journalist', 'Joe', 'Nocera', '’', 'neighbor', 'Hamptons', 'therapist', 'named', 'Ike', '.', 'Ike', 'counted', 'celebrities', 'Manhattan', 'elites', 'patients', '.', 'He', '’', 'host', 'star-studded', 'parties', 'eccentric', 'vacation', 'house', '.', 'But', 'one', 'summer', ',', 'Joe', 'discovered', 'Ike', 'gone', 'everything', '’', 'thought', '’', 'known', 'neighbor', '--', 'house', 'next', 'door', '--', 'wrong', '.', 'From', 'Wondery', ',', 'company', 'behind', 'Dirty', 'John', 'Dr.', 'Death', ',', 'Bloomberg', ',', '“', 'The', 'Shrink', 'Next', 'Door', '”', 'story', 'power', ',', 'control', 'turning', 'wrong', 'person', 'help', 'three', 'decades', '.', 'Written', 'hosted', 'Joe', 'Nocera', ',', '...']",https://chartable.com/podcasts/the-shrink-next-door,"['behind', 'bloomberg', 'but', 'celebrity', 'company', 'control', 'counted', 'death', 'decade', 'dirty', 'discovered', 'door', 'dr', 'eccentric', 'elite', 'everything', 'from', 'gone', 'hamptons', 'he', 'help', 'host', 'hosted', 'house', 'ike', 'joe', 'john', 'journalist', 'known', 'manhattan', 'named', 'neighbor', 'next', 'nocera', 'one', 'party', 'patient', 'person', 'power', 'shrink', 'star', 'story', 'studded', 'summer', 'the', 'therapist', 'thought', 'three', 'turning', 'vacation', 'veteran', 'wondery', 'written', 'wrong']","joe
ike
vacation
star"
"The official podcast of the miniseries Chernobyl, from HBO and Sky. Join host Peter Sagal (NPR’s “Wait Wait...Don't Tell Me!”) and series creator, writer and executive producer Craig Mazin after each episode as they discuss the true stories that shaped the scenes, themes and characters. Chernobyl airs Mondays at 9 PM on HBO and Tuesdays at 9 PM on Sky Atlantic. The Chernobyl Podcast is also available to stream on HBO NOW and HBO GO starting Monday, May 6 at 10 PM.","['The official podcast of the miniseries Chernobyl, from HBO and Sky', ' Join host Peter Sagal (NPR’s “Wait Wait', '', '', ""Don't Tell Me!”) and series creator, writer and executive producer Craig Mazin after each episode as they discuss the true stories that shaped the scenes, themes and characters"", ' Chernobyl airs Mondays at 9 PM on HBO and Tuesdays at 9 PM on Sky Atlantic', ' The Chernobyl Podcast is also available to stream on HBO NOW and HBO GO starting Monday, May 6 at 10 PM', '']","['Society & Culture', 'History', 'TV & Film']","['The', 'official', 'podcast', 'miniseries', 'Chernobyl', ',', 'HBO', 'Sky', '.', 'Join', 'host', 'Peter', 'Sagal', '(', 'NPR', '’', '“', 'Wait', 'Wait', '...', 'Do', ""n't"", 'Tell', 'Me', '!', '”', ')', 'series', 'creator', ',', 'writer', 'executive', 'producer', 'Craig', 'Mazin', 'episode', 'discus', 'true', 'story', 'shaped', 'scene', ',', 'theme', 'character', '.', 'Chernobyl', 'air', 'Mondays', '9', 'PM', 'HBO', 'Tuesdays', '9', 'PM', 'Sky', 'Atlantic', '.', 'The', 'Chernobyl', 'Podcast', 'also', 'available', 'stream', 'HBO', 'NOW', 'HBO', 'GO', 'starting', 'Monday', ',', 'May', '6', '10', 'PM', '.']","['10', 'airs', 'atlantic', 'available', 'characters', 'chernobyl', 'craig', 'creator', 'discuss', 'don', 'episode', 'executive', 'hbo', 'host', 'join', 'mazin', 'miniseries', 'monday', 'mondays', 'npr', 'official', 'peter', 'pm', 'podcast', 'producer', 'sagal', 'scenes', 'series', 'shaped', 'sky', 'starting', 'stories', 'stream', 'tell', 'themes', 'true', 'tuesdays', 'wait', 'writer']",The Chernobyl Podcast,"['The', 'official', 'podcast', 'miniseries', 'Chernobyl', ',', 'HBO', 'Sky', '.', 'Join', 'host', 'Peter', 'Sagal', '(', 'NPR', '’', '“', 'Wait', 'Wait', '...', 'Do', ""n't"", 'Tell', 'Me', '!', '”', ')', 'series', 'creator', ',', 'writer', 'executive', 'producer', 'Craig', 'Mazin', 'episode', 'discuss', 'true', 'stories', 'shaped', 'scenes', ',', 'themes', 'characters', '.', 'Chernobyl', 'airs', 'Mondays', '9', 'PM', 'HBO', 'Tuesdays', '9', 'PM', 'Sky', 'Atlantic', '.', 'The', 'Chernobyl', 'Podcast', 'also', 'available', 'stream', 'HBO', 'NOW', 'HBO', 'GO', 'starting', 'Monday', ',', 'May', '6', '10', 'PM', '.']",https://chartable.com/podcasts/the-chernobyl-podcast,"['10', 'air', 'also', 'atlantic', 'available', 'character', 'chernobyl', 'craig', 'creator', 'discus', 'do', 'episode', 'executive', 'go', 'hbo', 'host', 'join', 'may', 'mazin', 'me', 'miniseries', 'monday', 'mondays', 'now', 'npr', 'official', 'peter', 'pm', 'podcast', 'producer', 'sagal', 'scene', 'series', 'shaped', 'sky', 'starting', 'story', 'stream', 'tell', 'the', 'theme', 'true', 'tuesdays', 'wait', 'writer']","chernobyl
creator
craig
producer
sky"
Conduit to the Gaian Mind,['Conduit to the Gaian Mind'],"['Comedy', 'Society & Culture', 'Technology', 'Podcasting']","['Conduit', 'Gaian', 'Mind']","['conduit', 'gaian', 'mind']",The Joe Rogan Experience,"['Conduit', 'Gaian', 'Mind']",https://chartable.com/podcasts/the-joe-rogan-experience,"['conduit', 'gaian', 'mind']",
"Starting May 23rd, 2019: Listen to Chelsea Handler's first ever podcast series featuring candid, hilarious conversations about her life, her work and where she’s headed next. The series is an entertaining, raw, smart, funny, heartbreaking and honest memoir of Chelsea’s life changing year of self-discovery, healing and growth. The podcast features interviews with celebrities such as Connie Britton, Jake Tapper, Sean Hayes, Mary McCormack and more.Life Will Be the Death of Me with Chelsea Handler is a production of iHeartRadio. ","[""Starting May 23rd, 2019: Listen to Chelsea Handler's first ever podcast series featuring candid, hilarious conversations about her life, her work and where she’s headed next"", ' The series is an entertaining, raw, smart, funny, heartbreaking and honest memoir of Chelsea’s life changing year of self-discovery, healing and growth', ' The podcast features interviews with celebrities such as Connie Britton, Jake Tapper, Sean Hayes, Mary McCormack and more', 'Life Will Be the Death of Me with Chelsea Handler is a production of iHeartRadio', ' ']","['Comedy', 'Society & Culture']","['Starting', 'May', '23rd', ',', '2019', ':', 'Listen', 'Chelsea', 'Handler', ""'s"", 'first', 'ever', 'podcast', 'series', 'featuring', 'candid', ',', 'hilarious', 'conversation', 'life', ',', 'work', '’', 'headed', 'next', '.', 'The', 'series', 'entertaining', ',', 'raw', ',', 'smart', ',', 'funny', ',', 'heartbreaking', 'honest', 'memoir', 'Chelsea', '’', 'life', 'changing', 'year', 'self-discovery', ',', 'healing', 'growth', '.', 'The', 'podcast', 'feature', 'interview', 'celebrity', 'Connie', 'Britton', ',', 'Jake', 'Tapper', ',', 'Sean', 'Hayes', ',', 'Mary', 'McCormack', 'more.Life', 'Will', 'Be', 'Death', 'Me', 'Chelsea', 'Handler', 'production', 'iHeartRadio', '.']","['2019', '23rd', 'britton', 'candid', 'celebrities', 'changing', 'chelsea', 'connie', 'conversations', 'death', 'discovery', 'entertaining', 'features', 'featuring', 'funny', 'growth', 'handler', 'hayes', 'headed', 'healing', 'heartbreaking', 'hilarious', 'honest', 'iheartradio', 'interviews', 'jake', 'life', 'listen', 'mary', 'mccormack', 'memoir', 'podcast', 'production', 'raw', 'sean', 'self', 'series', 'smart', 'starting', 'tapper', 'work', 'year']",Life Will Be the Death of Me with Chelsea Handler,"['Starting', 'May', '23rd', ',', '2019', ':', 'Listen', 'Chelsea', 'Handler', ""'s"", 'first', 'ever', 'podcast', 'series', 'featuring', 'candid', ',', 'hilarious', 'conversations', 'life', ',', 'work', '’', 'headed', 'next', '.', 'The', 'series', 'entertaining', ',', 'raw', ',', 'smart', ',', 'funny', ',', 'heartbreaking', 'honest', 'memoir', 'Chelsea', '’', 'life', 'changing', 'year', 'self-discovery', ',', 'healing', 'growth', '.', 'The', 'podcast', 'features', 'interviews', 'celebrities', 'Connie', 'Britton', ',', 'Jake', 'Tapper', ',', 'Sean', 'Hayes', ',', 'Mary', 'McCormack', 'more.Life', 'Will', 'Be', 'Death', 'Me', 'Chelsea', 'Handler', 'production', 'iHeartRadio', '.']",https://chartable.com/podcasts/life-will-be-the-death-of-me-with-chelsea-handler,"['2019', '23rd', 'be', 'britton', 'candid', 'celebrity', 'changing', 'chelsea', 'connie', 'conversation', 'death', 'discovery', 'entertaining', 'ever', 'feature', 'featuring', 'first', 'funny', 'growth', 'handler', 'hayes', 'headed', 'healing', 'heartbreaking', 'hilarious', 'honest', 'iheartradio', 'interview', 'jake', 'life', 'listen', 'mary', 'may', 'mccormack', 'me', 'memoir', 'more', 'next', 'podcast', 'production', 'raw', 'sean', 'self', 'series', 'smart', 'starting', 'tapper', 'the', 'will', 'work', 'year']","featuring
features
changing
funny
raw
smart"
"There’s a dark side to the American dream. From the creators of Root of Evil, Gangster Capitalism Season 1 is centered on the 2019 college admissions scandal that is exposing everyone from CEOs to celebrities. Award-winning documentarian, Andrew Jenks, uncovers the origins and inner workings of this unprecedented scam, introducing you to the people involved, and exploring the larger debate around higher education that has been brought to the forefront. The final chapter of this story is still being written, as the federal investigation into these crimes continues to grow and...","['There’s a dark side to the American dream', ' From the creators of Root of Evil, Gangster Capitalism Season 1 is centered on the 2019 college admissions scandal that is exposing everyone from CEOs to celebrities', ' Award-winning documentarian, Andrew Jenks, uncovers the origins and inner workings of this unprecedented scam, introducing you to the people involved, and exploring the larger debate around higher education that has been brought to the forefront', ' The final chapter of this story is still being written, as the federal investigation into these crimes continues to grow and', '', '', '']",['Society & Culture'],"['There', '’', 'dark', 'side', 'American', 'dream', '.', 'From', 'creator', 'Root', 'Evil', ',', 'Gangster', 'Capitalism', 'Season', '1', 'centered', '2019', 'college', 'admission', 'scandal', 'exposing', 'everyone', 'CEOs', 'celebrity', '.', 'Award-winning', 'documentarian', ',', 'Andrew', 'Jenks', ',', 'uncovers', 'origin', 'inner', 'working', 'unprecedented', 'scam', ',', 'introducing', 'people', 'involved', ',', 'exploring', 'larger', 'debate', 'around', 'higher', 'education', 'brought', 'forefront', '.', 'The', 'final', 'chapter', 'story', 'still', 'written', ',', 'federal', 'investigation', 'crime', 'continues', 'grow', '...']","['2019', 'admissions', 'american', 'andrew', 'award', 'brought', 'capitalism', 'celebrities', 'centered', 'ceos', 'chapter', 'college', 'continues', 'creators', 'crimes', 'dark', 'debate', 'documentarian', 'dream', 'education', 'evil', 'exploring', 'exposing', 'federal', 'final', 'forefront', 'gangster', 'grow', 'higher', 'inner', 'introducing', 'investigation', 'involved', 'jenks', 'larger', 'origins', 'people', 'root', 'scam', 'scandal', 'season', 'story', 'uncovers', 'unprecedented', 'winning', 'workings', 'written']",Gangster Capitalism,"['There', '’', 'dark', 'side', 'American', 'dream', '.', 'From', 'creators', 'Root', 'Evil', ',', 'Gangster', 'Capitalism', 'Season', '1', 'centered', '2019', 'college', 'admissions', 'scandal', 'exposing', 'everyone', 'CEOs', 'celebrities', '.', 'Award-winning', 'documentarian', ',', 'Andrew', 'Jenks', ',', 'uncovers', 'origins', 'inner', 'workings', 'unprecedented', 'scam', ',', 'introducing', 'people', 'involved', ',', 'exploring', 'larger', 'debate', 'around', 'higher', 'education', 'brought', 'forefront', '.', 'The', 'final', 'chapter', 'story', 'still', 'written', ',', 'federal', 'investigation', 'crimes', 'continues', 'grow', '...']",https://chartable.com/podcasts/gangster-capitalism,"['2019', 'admission', 'american', 'andrew', 'around', 'award', 'brought', 'capitalism', 'celebrity', 'centered', 'ceos', 'chapter', 'college', 'continues', 'creator', 'crime', 'dark', 'debate', 'documentarian', 'dream', 'education', 'everyone', 'evil', 'exploring', 'exposing', 'federal', 'final', 'forefront', 'from', 'gangster', 'grow', 'higher', 'inner', 'introducing', 'investigation', 'involved', 'jenks', 'larger', 'origin', 'people', 'root', 'scam', 'scandal', 'season', 'side', 'still', 'story', 'the', 'there', 'uncovers', 'unprecedented', 'winning', 'working', 'written']","scam
admissions
capitalism
gangster
jenks
award"
"      After 25 years at the Late Night desk, Conan realized that the only people at his holiday party are the men and women who work for him.Over the years and despite thousands of interviews, Conan has never made a real and lasting friendship with any of his celebrity guests. So, he started a podcast to do just that.Deeper, unboundedly playful, and free from FCC regulations, Conan O’Brien Needs a Friend is a weekly opportunity for Conan to hang out with the people he enjoys most and perhaps find some real friendship along the way.    ","['      After 25 years at the Late Night desk, Conan realized that the only people at his holiday party are the men and women who work for him', 'Over the years and despite thousands of interviews, Conan has never made a real and lasting friendship with any of his celebrity guests', ' So, he started a podcast to do just that', 'Deeper, unboundedly playful, and free from FCC regulations, Conan O’Brien Needs a Friend is a weekly opportunity for Conan to hang out with the people he enjoys most and perhaps find some real friendship along the way', '    ']",['Comedy'],"['After', '25', 'year', 'Late', 'Night', 'desk', ',', 'Conan', 'realized', 'people', 'holiday', 'party', 'men', 'woman', 'work', 'him.Over', 'year', 'despite', 'thousand', 'interview', ',', 'Conan', 'never', 'made', 'real', 'lasting', 'friendship', 'celebrity', 'guest', '.', 'So', ',', 'started', 'podcast', 'that.Deeper', ',', 'unboundedly', 'playful', ',', 'free', 'FCC', 'regulation', ',', 'Conan', 'O', '’', 'Brien', 'Needs', 'Friend', 'weekly', 'opportunity', 'Conan', 'hang', 'people', 'enjoys', 'perhaps', 'find', 'real', 'friendship', 'along', 'way', '.']","['25', 'brien', 'celebrity', 'conan', 'deeper', 'desk', 'despite', 'enjoys', 'fcc', 'free', 'friend', 'friendship', 'guests', 'hang', 'holiday', 'interviews', 'just', 'lasting', 'late', 'men', 'needs', 'night', 'opportunity', 'party', 'people', 'playful', 'podcast', 'real', 'realized', 'regulations', 'started', 'thousands', 'unboundedly', 'way', 'weekly', 'women', 'work', 'years']",Conan O’Brien Needs A Friend,"['After', '25', 'years', 'Late', 'Night', 'desk', ',', 'Conan', 'realized', 'people', 'holiday', 'party', 'men', 'women', 'work', 'him.Over', 'years', 'despite', 'thousands', 'interviews', ',', 'Conan', 'never', 'made', 'real', 'lasting', 'friendship', 'celebrity', 'guests', '.', 'So', ',', 'started', 'podcast', 'that.Deeper', ',', 'unboundedly', 'playful', ',', 'free', 'FCC', 'regulations', ',', 'Conan', 'O', '’', 'Brien', 'Needs', 'Friend', 'weekly', 'opportunity', 'Conan', 'hang', 'people', 'enjoys', 'perhaps', 'find', 'real', 'friendship', 'along', 'way', '.']",https://chartable.com/podcasts/conan-obrien-needs-a-friend,"['25', 'after', 'along', 'brien', 'celebrity', 'conan', 'deeper', 'desk', 'despite', 'enjoys', 'fcc', 'find', 'free', 'friend', 'friendship', 'guest', 'hang', 'him', 'holiday', 'interview', 'lasting', 'late', 'made', 'men', 'needs', 'never', 'night', 'opportunity', 'over', 'party', 'people', 'perhaps', 'playful', 'podcast', 'real', 'realized', 'regulation', 'so', 'started', 'that', 'thousand', 'unboundedly', 'way', 'weekly', 'woman', 'work', 'year']","conan
unboundedly
friendship
night"
"Linda Taylor was a con artist, a kidnapper, maybe even a murderer. She was also America’s original “welfare queen,” the villain Ronald Reagan needed to create a vision of a country being taken advantage of by its poorest citizens. Josh Levin reveals the never-before-told story of a woman whose singular life was forgotten in the rush to create a vicious American stereotype.","['Linda Taylor was a con artist, a kidnapper, maybe even a murderer', ' She was also America’s original “welfare queen,” the villain Ronald Reagan needed to create a vision of a country being taken advantage of by its poorest citizens', ' Josh Levin reveals the never-before-told story of a woman whose singular life was forgotten in the rush to create a vicious American stereotype', '']","['Society & Culture', 'History']","['Linda', 'Taylor', 'con', 'artist', ',', 'kidnapper', ',', 'maybe', 'even', 'murderer', '.', 'She', 'also', 'America', '’', 'original', '“', 'welfare', 'queen', ',', '”', 'villain', 'Ronald', 'Reagan', 'needed', 'create', 'vision', 'country', 'taken', 'advantage', 'poorest', 'citizen', '.', 'Josh', 'Levin', 'reveals', 'never-before-told', 'story', 'woman', 'whose', 'singular', 'life', 'forgotten', 'rush', 'create', 'vicious', 'American', 'stereotype', '.']","['advantage', 'america', 'american', 'artist', 'citizens', 'country', 'create', 'forgotten', 'josh', 'kidnapper', 'levin', 'life', 'linda', 'maybe', 'murderer', 'needed', 'original', 'poorest', 'queen', 'reagan', 'reveals', 'ronald', 'rush', 'singular', 'stereotype', 'story', 'taken', 'taylor', 'told', 'vicious', 'villain', 'vision', 'welfare', 'woman']",The Queen,"['Linda', 'Taylor', 'con', 'artist', ',', 'kidnapper', ',', 'maybe', 'even', 'murderer', '.', 'She', 'also', 'America', '’', 'original', '“', 'welfare', 'queen', ',', '”', 'villain', 'Ronald', 'Reagan', 'needed', 'create', 'vision', 'country', 'taken', 'advantage', 'poorest', 'citizens', '.', 'Josh', 'Levin', 'reveals', 'never-before-told', 'story', 'woman', 'whose', 'singular', 'life', 'forgotten', 'rush', 'create', 'vicious', 'American', 'stereotype', '.']",https://chartable.com/podcasts/the-queen,"['advantage', 'also', 'america', 'american', 'artist', 'before', 'citizen', 'con', 'country', 'create', 'even', 'forgotten', 'josh', 'kidnapper', 'levin', 'life', 'linda', 'maybe', 'murderer', 'needed', 'never', 'original', 'poorest', 'queen', 'reagan', 'reveals', 'ronald', 'rush', 'she', 'singular', 'stereotype', 'story', 'taken', 'taylor', 'told', 'vicious', 'villain', 'vision', 'welfare', 'whose', 'woman']","american
welfare
ronald
reagan
citizens"
"In 1965, Rev. James Reeb was murdered in Selma, Alabama. Three men were tried and acquitted, but no one was ever held to account. Fifty years later, two journalists from Alabama return to the city where it happened, expose the lies that kept the murder from being solved and uncover a story about guilt and memory that says as much about America today as it does about the past.","['In 1965, Rev', ' James Reeb was murdered in Selma, Alabama', ' Three men were tried and acquitted, but no one was ever held to account', ' Fifty years later, two journalists from Alabama return to the city where it happened, expose the lies that kept the murder from being solved and uncover a story about guilt and memory that says as much about America today as it does about the past', '']","['News & Politics', 'Society & Culture', 'History']","['In', '1965', ',', 'Rev', '.', 'James', 'Reeb', 'murdered', 'Selma', ',', 'Alabama', '.', 'Three', 'men', 'tried', 'acquitted', ',', 'one', 'ever', 'held', 'account', '.', 'Fifty', 'year', 'later', ',', 'two', 'journalist', 'Alabama', 'return', 'city', 'happened', ',', 'expose', 'lie', 'kept', 'murder', 'solved', 'uncover', 'story', 'guilt', 'memory', 'say', 'much', 'America', 'today', 'past', '.']","['1965', 'account', 'acquitted', 'alabama', 'america', 'city', 'does', 'expose', 'guilt', 'happened', 'held', 'james', 'journalists', 'kept', 'later', 'lies', 'memory', 'men', 'murder', 'murdered', 'past', 'reeb', 'return', 'rev', 'says', 'selma', 'solved', 'story', 'today', 'tried', 'uncover', 'years']",White Lies,"['In', '1965', ',', 'Rev', '.', 'James', 'Reeb', 'murdered', 'Selma', ',', 'Alabama', '.', 'Three', 'men', 'tried', 'acquitted', ',', 'one', 'ever', 'held', 'account', '.', 'Fifty', 'years', 'later', ',', 'two', 'journalists', 'Alabama', 'return', 'city', 'happened', ',', 'expose', 'lies', 'kept', 'murder', 'solved', 'uncover', 'story', 'guilt', 'memory', 'says', 'much', 'America', 'today', 'past', '.']",https://chartable.com/podcasts/white-lies,"['1965', 'account', 'acquitted', 'alabama', 'america', 'city', 'ever', 'expose', 'fifty', 'guilt', 'happened', 'held', 'in', 'james', 'journalist', 'kept', 'later', 'lie', 'memory', 'men', 'much', 'murder', 'murdered', 'one', 'past', 'reeb', 'return', 'rev', 'say', 'selma', 'solved', 'story', 'three', 'today', 'tried', 'two', 'uncover', 'year']","alabama
james"
"      This is what the news should sound like. The biggest stories of our time, told by the best journalists in the world. Hosted by Michael Barbaro. Twenty minutes a day, five days a week, ready by 6 a.m.    ","['      This is what the news should sound like', ' The biggest stories of our time, told by the best journalists in the world', ' Hosted by Michael Barbaro', ' Twenty minutes a day, five days a week, ready by 6 a', 'm', '    ']",['News & Politics'],"['This', 'news', 'sound', 'like', '.', 'The', 'biggest', 'story', 'time', ',', 'told', 'best', 'journalist', 'world', '.', 'Hosted', 'Michael', 'Barbaro', '.', 'Twenty', 'minute', 'day', ',', 'five', 'day', 'week', ',', 'ready', '6', 'a.m', '.']","['barbaro', 'best', 'biggest', 'day', 'days', 'hosted', 'journalists', 'like', 'michael', 'minutes', 'news', 'ready', 'sound', 'stories', 'time', 'told', 'week', 'world']",The Daily,"['This', 'news', 'sound', 'like', '.', 'The', 'biggest', 'stories', 'time', ',', 'told', 'best', 'journalists', 'world', '.', 'Hosted', 'Michael', 'Barbaro', '.', 'Twenty', 'minutes', 'day', ',', 'five', 'days', 'week', ',', 'ready', '6', 'a.m', '.']",https://chartable.com/podcasts/the-daily,"['barbaro', 'best', 'biggest', 'day', 'five', 'hosted', 'journalist', 'like', 'michael', 'minute', 'news', 'ready', 'sound', 'story', 'the', 'this', 'time', 'told', 'twenty', 'week', 'world']","sound
like"
"Will Ferrell reprises his role as Ron Burgundy in his brand new Ron Burgundy Podcast! Each episode has a different theme in which Ron engages in conversation with another notable person on the topic at hand. In true Ron Burgundy fashion, these conversations have a tendency to go off the rails, and we find out things about people we never knew we wanted to know.In Season 1, Ron addresses important issues like bullying and the mind-expanding nature of meditation, and attempts to ultimately answer the question “seriously, what is a podcast?” ","['Will Ferrell reprises his role as Ron Burgundy in his brand new Ron Burgundy Podcast! Each episode has a different theme in which Ron engages in conversation with another notable person on the topic at hand', ' In true Ron Burgundy fashion, these conversations have a tendency to go off the rails, and we find out things about people we never knew we wanted to know', 'In Season 1, Ron addresses important issues like bullying and the mind-expanding nature of meditation, and attempts to ultimately answer the question “seriously, what is a podcast?” ']","['Comedy', 'Society & Culture', 'TV & Film']","['Will', 'Ferrell', 'reprises', 'role', 'Ron', 'Burgundy', 'brand', 'new', 'Ron', 'Burgundy', 'Podcast', '!', 'Each', 'episode', 'different', 'theme', 'Ron', 'engages', 'conversation', 'another', 'notable', 'person', 'topic', 'hand', '.', 'In', 'true', 'Ron', 'Burgundy', 'fashion', ',', 'conversation', 'tendency', 'go', 'rail', ',', 'find', 'thing', 'people', 'never', 'knew', 'wanted', 'know.In', 'Season', '1', ',', 'Ron', 'address', 'important', 'issue', 'like', 'bullying', 'mind-expanding', 'nature', 'meditation', ',', 'attempt', 'ultimately', 'answer', 'question', '“', 'seriously', ',', 'podcast', '?', '”']","['addresses', 'answer', 'attempts', 'brand', 'bullying', 'burgundy', 'conversation', 'conversations', 'different', 'engages', 'episode', 'expanding', 'fashion', 'ferrell', 'hand', 'important', 'issues', 'knew', 'know', 'like', 'meditation', 'mind', 'nature', 'new', 'notable', 'people', 'person', 'podcast', 'question', 'rails', 'reprises', 'role', 'ron', 'season', 'seriously', 'tendency', 'theme', 'things', 'topic', 'true', 'ultimately', 'wanted']",The Ron Burgundy Podcast,"['Will', 'Ferrell', 'reprises', 'role', 'Ron', 'Burgundy', 'brand', 'new', 'Ron', 'Burgundy', 'Podcast', '!', 'Each', 'episode', 'different', 'theme', 'Ron', 'engages', 'conversation', 'another', 'notable', 'person', 'topic', 'hand', '.', 'In', 'true', 'Ron', 'Burgundy', 'fashion', ',', 'conversations', 'tendency', 'go', 'rails', ',', 'find', 'things', 'people', 'never', 'knew', 'wanted', 'know.In', 'Season', '1', ',', 'Ron', 'addresses', 'important', 'issues', 'like', 'bullying', 'mind-expanding', 'nature', 'meditation', ',', 'attempts', 'ultimately', 'answer', 'question', '“', 'seriously', ',', 'podcast', '?', '”']",https://chartable.com/podcasts/the-ron-burgundy-podcast,"['address', 'another', 'answer', 'attempt', 'brand', 'bullying', 'burgundy', 'conversation', 'different', 'each', 'engages', 'episode', 'expanding', 'fashion', 'ferrell', 'find', 'go', 'hand', 'important', 'in', 'issue', 'knew', 'know', 'like', 'meditation', 'mind', 'nature', 'never', 'new', 'notable', 'people', 'person', 'podcast', 'question', 'rail', 'reprises', 'role', 'ron', 'season', 'seriously', 'tendency', 'theme', 'thing', 'topic', 'true', 'ultimately', 'wanted', 'will']","ron
burgundy
like
new"
