genre,url
"['Business', 'Society & Culture']",https://chartable.com/podcasts/the-shrink-next-door
[],https://chartable.com/podcasts/svp-russillo
[],https://chartable.com/podcasts/this-land-1464954218
"['Society & Culture', 'History', 'TV & Film']",https://chartable.com/podcasts/the-chernobyl-podcast
"['Comedy', 'Society & Culture', 'Technology', 'Podcasting']",https://chartable.com/podcasts/the-joe-rogan-experience
"['Comedy', 'Society & Culture']",https://chartable.com/podcasts/life-will-be-the-death-of-me-with-chelsea-handler
['Society & Culture'],https://chartable.com/podcasts/gangster-capitalism
['Comedy'],https://chartable.com/podcasts/conan-obrien-needs-a-friend
"['Society & Culture', 'Personal Journals']",https://chartable.com/podcasts/crime-junkie
"['Society & Culture', 'History']",https://chartable.com/podcasts/the-queen
"['News & Politics', 'Society & Culture', 'History']",https://chartable.com/podcasts/white-lies
['News & Politics'],https://chartable.com/podcasts/the-daily
"['Comedy', 'Society & Culture', 'TV & Film']",https://chartable.com/podcasts/the-ron-burgundy-podcast
"['News & Politics', 'Society & Culture', 'Personal Journals']",https://chartable.com/podcasts/to-live-and-die-in-la
"['Comedy', 'News & Politics']",https://chartable.com/podcasts/my-favorite-murder-with-karen-kilgariff-and-georgia-hardstark
['Comedy'],https://chartable.com/podcasts/call-her-daddy
"['Comedy', 'Music', 'TV & Film']",https://chartable.com/podcasts/armchair-expert-with-dax-shepard
"['Health', 'Science & Medicine']",https://chartable.com/podcasts/dr-death
['News & Politics'],https://chartable.com/podcasts/serial
"['Arts', 'Literature', 'Society & Culture', 'History']",https://chartable.com/podcasts/lore
"['Arts', 'Design', 'Society & Culture', 'Places & Travel']",https://chartable.com/podcasts/nice-try
['Society & Culture'],https://chartable.com/podcasts/root-of-evil-the-true-story-of-the-hodel-family-and-the-black-dahlia
[],https://chartable.com/podcasts/ringer-dish
['Society & Culture'],https://chartable.com/podcasts/the-ted-interview
['Science & Medicine'],https://chartable.com/podcasts/science-rules-with-bill-nye
['News & Politics'],https://chartable.com/podcasts/up-first
['Comedy'],https://chartable.com/podcasts/adulting-1463400941
['Society & Culture'],https://chartable.com/podcasts/the-dark-side-of
"['Society & Culture', 'TV & Film']",https://chartable.com/podcasts/inside-star-wars
['Comedy'],https://chartable.com/podcasts/dumb-people-town
"['Arts', 'News & Politics', 'Society & Culture', 'Personal Journals']",https://chartable.com/podcasts/this-american-life
"['Business', 'Investing']",https://chartable.com/podcasts/the-dave-ramsey-show
"['Education', 'Language Courses', 'Society & Culture', 'Places & Travel']",https://chartable.com/podcasts/duolingo-spanish-podcast
"['Business', 'Management & Marketing']",https://chartable.com/podcasts/the-mfceo-project
['Society & Culture'],https://chartable.com/podcasts/dead-ass-with-devale-and-khadeen-ellis
['News & Politics'],https://chartable.com/podcasts/the-dropout
['Business'],https://chartable.com/podcasts/how-i-built-this-with-guy-raz
"['Health', 'Religion & Spirituality', 'Society & Culture']",https://chartable.com/podcasts/oprahs-supersoul-conversations
['Comedy'],https://chartable.com/podcasts/the-tiny-meat-gang-podcast
['Society & Culture'],https://chartable.com/podcasts/stuff-you-should-know
"['Society & Culture', 'Personal Journals']",https://chartable.com/podcasts/dirty-john
"['Arts', 'Design', 'Education', 'Science & Medicine', 'Natural Sciences', 'Technology']",https://chartable.com/podcasts/ted-talks-daily
['Health'],https://chartable.com/podcasts/on-purpose-with-jay-shetty
['Comedy'],https://chartable.com/podcasts/life-is-short-with-justin-long
"['Business', 'Careers', 'Health', 'Self-Help']",https://chartable.com/podcasts/dais-podcast
['Science & Medicine'],https://chartable.com/podcasts/hidden-brain
['Society & Culture'],https://chartable.com/podcasts/over-my-dead-body
['Arts'],https://chartable.com/podcasts/blackout-1447513097
"['Education', 'Higher Education', 'Science & Medicine', 'Medicine', 'Society & Culture', 'Personal Journals']",https://chartable.com/podcasts/the-womed
"['Arts', 'Fashion & Beauty', 'Society & Culture']",https://chartable.com/podcasts/lauren-conrad-asking-for-a-friend
['Comedy'],https://chartable.com/podcasts/my-dad-wrote-a-porno
[],https://chartable.com/podcasts/man-in-the-window
"['Arts', 'Design']",https://chartable.com/podcasts/99-invisible
"['News & Politics', 'Science & Medicine', 'Social Sciences', 'Society & Culture', 'Personal Journals']",https://chartable.com/podcasts/sword-and-scale
"['Kids & Family', 'Society & Culture', 'TV & Film']",https://chartable.com/podcasts/coffee-convos-with-kail-lowry-lindsie-chrisley
"['Sports & Recreation', 'Professional']",https://chartable.com/podcasts/the-great-one-on-1
['Society & Culture'],https://chartable.com/podcasts/atlanta-monster
"['Society & Culture', 'History']",https://chartable.com/podcasts/stuff-you-missed-in-history-class
['Comedy'],https://chartable.com/podcasts/monday-morning-podcast
"['Science & Medicine', 'Society & Culture']",https://chartable.com/podcasts/invisibilia
"['Religion & Spirituality', 'Science & Medicine', 'Society & Culture']",https://chartable.com/podcasts/waking-up-with-sam-harris
"['Comedy', 'Society & Culture', 'Sports & Recreation']",https://chartable.com/podcasts/the-shvitz
[],https://chartable.com/podcasts/dateline-nbc
['News & Politics'],https://chartable.com/podcasts/in-the-dark-314933
['Society & Culture'],https://chartable.com/podcasts/happy-face
['Comedy'],https://chartable.com/podcasts/drinkin-bros
['Society & Culture'],https://chartable.com/podcasts/unsolved-murders-true-crime-stories
['Business'],https://chartable.com/podcasts/worklife-with-adam-grant
"['Arts', 'Performing Arts', 'Comedy']",https://chartable.com/podcasts/the-moth
"['News & Politics', 'Society & Culture']",https://chartable.com/podcasts/the-teachers-pet
"['Sports & Recreation', 'Professional']",https://chartable.com/podcasts/the-bill-simmons-podcast
"['Business', 'Investing', 'Education', 'Training']",https://chartable.com/podcasts/biggerpockets-podcast-real-estate-investing-and-wealth-building-to-help-you-get-bigger-pockets
"['Health', 'Self-Help']",https://chartable.com/podcasts/rise-together-1407481308
['News & Politics'],https://chartable.com/podcasts/someone-knows-something
"['Society & Culture', 'TV & Film']",https://chartable.com/podcasts/running-from-cops-headlong-season-3
['News & Politics'],https://chartable.com/podcasts/embedded
"['Comedy', 'Society & Culture', 'TV & Film']",https://chartable.com/podcasts/congratulations-with-chris-delia
['Comedy'],https://chartable.com/podcasts/king-and-the-sting
"['News & Politics', 'Society & Culture', 'TV & Film']",https://chartable.com/podcasts/13-alibis
['Kids & Family'],https://chartable.com/podcasts/the-big-life-kids-podcast
"['Government & Organizations', 'News & Politics']",https://chartable.com/podcasts/npr-politics-podcast
"['Arts', 'Performing Arts', 'Comedy', 'TV & Film']",https://chartable.com/podcasts/wtf-with-marc-maron-podcast
['Education'],https://chartable.com/podcasts/the-wild
['Comedy'],https://chartable.com/podcasts/the-misfits-podcast
"['Society & Culture', 'Personal Journals']",https://chartable.com/podcasts/this-is-love
"['Society & Culture', 'Technology', 'Tech News']",https://chartable.com/podcasts/sleepwalkers-1449757372
"['Arts', 'Society & Culture', 'Technology']",https://chartable.com/podcasts/reply-all
"['Society & Culture', 'History']",https://chartable.com/podcasts/the-rfk-tapes
"['Comedy', 'News & Politics', 'Society & Culture']",https://chartable.com/podcasts/true-crime-obsessed
['Comedy'],https://chartable.com/podcasts/your-moms-house-with-christina-p-and-tom-segura
"['Business', 'Management & Marketing', 'Education']",https://chartable.com/podcasts/the-tony-robbins-podcast
['News & Politics'],https://chartable.com/podcasts/what-next-daily-news-and-analysis
"['Arts', 'Music', 'Society & Culture']",https://chartable.com/podcasts/disgraceland
['News & Politics'],https://chartable.com/podcasts/npr-news-now
['Sports & Recreation'],https://chartable.com/podcasts/spittin-chiclets
"['Health', 'Self-Help', 'Kids & Family', 'Society & Culture']",https://chartable.com/podcasts/motherhood-sessions
['Society & Culture'],https://chartable.com/podcasts/broken-harts
"['Comedy', 'News & Politics']",https://chartable.com/podcasts/louder-with-crowder
['News & Politics'],https://chartable.com/podcasts/uncover
['News & Politics'],https://chartable.com/podcasts/global-news-podcast
['Comedy'],https://chartable.com/podcasts/the-trypod
"['Games & Hobbies', 'Sports & Recreation', 'Professional', 'TV & Film']",https://chartable.com/podcasts/the-wade-keller-pro-wrestling-podcast
[],https://chartable.com/podcasts/doing-it-for-me-tone-and-sculpt
"['Religion & Spirituality', 'Christianity', 'Society & Culture']",https://chartable.com/podcasts/the-crossway-podcast
['Health'],https://chartable.com/podcasts/10-happier-with-dan-harris
['Comedy'],https://chartable.com/podcasts/h3-podcast
"['Society & Culture', 'Personal Journals']",https://chartable.com/podcasts/family-ghosts
"['News & Politics', 'Society & Culture', 'History']",https://chartable.com/podcasts/american-hysteria
['Society & Culture'],https://chartable.com/podcasts/serial-killers-490044
"['News & Politics', 'Science & Medicine', 'Social Sciences', 'Society & Culture', 'History']",https://chartable.com/podcasts/the-vanished-podcast
"['Arts', 'Performing Arts', 'Society & Culture', 'TV & Film']",https://chartable.com/podcasts/off-the-vine-with-kaitlyn-bristowe
"['Arts', 'Literature', 'Education', 'Higher Education', 'Society & Culture', 'History']",https://chartable.com/podcasts/myths-and-legends
['Comedy'],https://chartable.com/podcasts/the-church-of-whats-happening-now-with-joey-coco-diaz
"['Government & Organizations', 'News & Politics', 'Society & Culture']",https://chartable.com/podcasts/today-explained
"['Government & Organizations', 'News & Politics', 'Society & Culture']",https://chartable.com/podcasts/the-oath
['News & Politics'],https://chartable.com/podcasts/robert-jeters-show
['Comedy'],https://chartable.com/podcasts/welcome-to-night-vale
"['Business', 'Business News', 'Games & Hobbies', 'Automotive', 'Technology']",https://chartable.com/podcasts/ride-the-lightning-tesla-motors-unofficial-podcast
"['Comedy', 'Health', 'Science & Medicine']",https://chartable.com/podcasts/science-vs
